acctno,qty,trandate,tran_channel,price,totamt,orderno,deptdescr
GGDWGY,1,2009-12-18,RT,234,234,CCXCUKRXXXVI,Portable Electronics
HHSSAL,1,2009-12-18,RT,28.5,28.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,43.5,43.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,27,27,CCXCURUXXXVI,Small Appliances
HHSSAL,1,2009-12-18,RT,31.5,31.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,45,45,CCXCURUXXXVI,Small Appliances
DGDSAD,1,2009-12-20,CB,119.85,119.85,CRUVIKIVCRK,Cameras & Camcorder Accessori
DGDSAD,1,2009-12-20,CB,539.85,539.85,CRUVIKIVCRK,Mobile Electronics
DGDSAD,1,2009-12-20,CB,58.5,58.5,CRUVIKIVCRK,Mobile Electronic Accessories
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRINZXIRK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRINZXIRK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,99,99,CRVRINZXIRK,Mobile Electronic Accessories
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,132,132,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,138,138,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-11,IB,132,132,CRVUIECIZVK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-11,IB,132,132,CRVUIECIZVK,Cameras & Camcorder Accessori
WYWPQYG,1,2009-12-02,RT,72,72,CCXCEIIXXXNI,Small Appliances
WYSDGLS,1,2009-12-31,RT,48,48,CCXXXZUXXXVX,Small Appliances
WYSDGLS,1,2009-12-31,RT,39,39,CCXXXZUXXXVX,Small Appliances
WYPHLLH,1,2009-12-18,RT,31.5,31.5,CCXVCKXXXXVI,Mobile Electronics
WYPHLLH,1,2009-12-18,RT,59.97,59.97,CCXVCKXXXXVI,Mobile Electronics
WYHYGAY,1,2009-12-19,RT,24,24,CCXURINXXXNC,Small Appliances
WYHYGAY,2,2009-12-19,RT,29.85,59.7,CCXURINXXXNC,Small Appliances
AAAPDSD,1,2009-12-24,RT,59.97,59.97,CCXIIKUXXXRC,Mobile Electronic Accessories
AAAPDSD,1,2009-12-24,RT,37.5,37.5,CCXIIKUXXXRC,Mobile Electronic Accessories
AAAPDSD,1,2009-12-24,RT,43.5,43.5,CCXIIKUXXXRC,Mobile Electronic Accessories
ASSLGYL,1,2009-12-11,RT,18,18,CCXZXEIXXXVI,Mobile Electronic Accessories
AHQWAHP,1,2009-12-06,CB,209.85,209.85,CRVXIECNRKK,Cameras & Camcorder Accessori
AHSWPSY,1,2009-12-07,CB,179.85,179.85,CRVNIRKENZK,Cameras & Camcorder Accessori
AHSWPSY,1,2009-12-07,CB,117,117,CRVNIRKENZK,Small Appliances
AHGQSLS,1,2009-12-23,RT,29.97,29.97,CCXEUXNXXXNX,Small Appliances
SQWSHDP,1,2009-12-04,RT,59.85,59.85,CCXNVXZXXXKI,Portable Electronics
SQWSHDP,1,2009-12-04,RT,89.85,89.85,CCXNVXZXXXKI,Portable Electronics
SQWSHDP,1,2009-12-04,RT,54,54,CCXNVXZXXXKI,Small Appliances
SQLPLLY,1,2009-12-22,RT,48,48,CCXECIZXXXRI,Mobile Electronic Accessories
SSHLLDD,1,2009-12-24,RT,87,87,CCXIEKRXXXRI,Portable Electronics
SSHLLDD,1,2009-12-24,RT,42,42,CCXIEKRXXXRI,Mobile Electronics
SSHLLDD,1,2009-12-24,RT,44.85,44.85,CCXIEKRXXXRI,Small Appliances
SSDPYAA,1,2009-12-03,RT,14.97,14.97,CCXNKRCXXXKI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-15,RT,810,810,CCXNVVZXXXVI,Home Audio
SLSGQWY,1,2009-12-15,RT,59.85,59.85,CCXNVVZXXXVI,Portable Electronics
SLSGQWY,1,2009-12-15,RT,119.85,119.85,CCXNVVZXXXVI,Home Audio
SLSGQWY,1,2009-12-15,RT,28.5,28.5,CCXNVVZXXXVI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-15,RT,38.85,38.85,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,38.85,38.85,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,45,45,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,30,30,CCXNVVZXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,96,96,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,89.85,89.85,CCXKNXUXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-21,RT,35.85,35.85,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,147,147,CCXKNXUXXXVI,Portable Electronics
SLSGQWY,1,2009-12-21,RT,74.85,74.85,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,87,87,CCXKNXUXXXVI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-21,RT,102,102,CCXKNXUXXXVI,Portable Electronics
SLSGQWY,1,2009-12-15,RT,26.85,26.85,CCXRNRVXXXKI,Small Appliances
SLSGQWY,1,2009-12-03,RT,30,30,CCXUUVVXXXRI,Small Appliances
SLSGQWY,1,2009-12-03,RT,30,30,CCXUUVVXXXRI,Small Appliances
SLSGQWY,1,2009-12-03,RT,207,207,CCXUUVVXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-03,RT,207,207,CCXUUVVXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-03,RT,17.97,17.97,CCXUUVVXXXRI,Home Audio
SLSGQWY,1,2009-12-09,RT,31.5,31.5,CCXEXZKXXXRI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-09,RT,58.5,58.5,CCXEXZKXXXRI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-09,RT,63,63,CCXEXZKXXXRI,Small Appliances
SLSGQWY,1,2009-12-19,RT,53.97,53.97,CCXIRXXXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-19,RT,53.97,53.97,CCXIRXXXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-19,RT,54,54,CCXIRXXXXXRI,Small Appliances
SLSGAWG,1,2009-12-21,RT,38.25,38.25,CCXECXEXXXRC,Mobile Electronic Accessories
SLSGAWG,1,2009-12-21,RT,32.85,32.85,CCXECXEXXXRC,Mobile Electronic Accessories
SLSGAWG,1,2009-12-21,RT,42,42,CCXECXEXXXRC,Mobile Electronic Accessories
SLLHSQS,1,2009-12-18,RT,299.85,299.85,CCXINKKXXXKI,Home Audio
SLLHSQS,1,2009-12-18,RT,599.85,599.85,CCXINKKXXXKI,Home Audio
SLLHLGY,1,2009-12-16,RT,73.5,73.5,CCXUKEEXXXRI,Mobile Electronics
SLYDQAL,1,2009-12-13,RT,37.5,37.5,CCXVNERXXXNI,Mobile Electronic Accessories
SLYDQAL,1,2009-12-13,RT,57,57,CCXVNERXXXNI,Mobile Electronics
SLYDQAL,1,2009-12-13,RT,147,147,CCXVNERXXXNI,Home Audio
SLYDQAL,1,2009-12-13,RT,53.85,53.85,CCXVNERXXXNI,Portable Electronics
SLYDQAL,1,2009-12-13,RT,44.85,44.85,CCXVNERXXXNI,Small Appliances
SLYDQAL,1,2009-12-21,RT,749.85,749.85,CCXICERXXXKI,Home Audio
SLYDQAL,1,2009-12-21,RT,60,60,CCXICERXXXKI,Small Appliances
SLDQWSQ,1,2009-12-03,IB,36,36,CRRIIZCVKKK,Small Appliances
SLDQWSQ,1,2009-12-03,IB,449.85,449.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,3,2009-12-03,IB,224.85,674.55,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,239.85,239.85,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,179.85,179.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,59.85,59.85,CRRIIZCVKKK,Portable Electronics
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,138,276,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,67.5,135,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,78,78,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,79.5,79.5,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,138,276,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,144,288,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,147,147,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,48,48,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,66,66,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,87,87,CRRIIZCVKKK,Portable Electronics
SLDQWSQ,2,2009-12-03,IB,28.5,57,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,419.85,419.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,1,2009-12-03,IB,60,60,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,204,204,CRRIIZCVKKK,Small Appliances
SLDQWSQ,2,2009-12-03,IB,27,54,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,54,108,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,132,132,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,749.85,749.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,1,2009-12-03,IB,60,60,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,2,2009-12-03,IB,28.5,57,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,86.85,86.85,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,135,135,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,216,216,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,66,66,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,36,36,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,2,2009-12-03,IB,44.85,89.7,CRRIIZCVKKK,Small Appliances
SLDQWSQ,2,2009-12-03,IB,36,72,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,36,72,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,4,2009-12-03,IB,84,336,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,3,2009-12-03,IB,96,288,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-18,IB,1199.9,1199.85,CRUKIENXZKK,Home Audio
SLDQASD,1,2009-12-10,RT,102,102,CCXKNUUXXXKI,Mobile Electronic Accessories
SLDQASD,1,2009-12-10,RT,30,30,CCXKNUUXXXKI,Mobile Electronic Accessories
SLDQASD,1,2009-12-10,RT,129,129,CCXKNUUXXXKI,Small Appliances
SLDQASD,1,2009-12-10,RT,129,129,CCXKNUUXXXKI,Small Appliances
SLDQHWY,4,2009-12-30,IB,17.97,71.88,CREVIXUXIVK,Mobile Electronics
SLDQHWY,1,2009-12-30,RT,14.97,14.97,CCXNZNNXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-30,RT,59.97,59.97,CCXNZNNXXXVI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-30,RT,29.97,29.97,CCXNZNNXXXVI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-28,RT,38.97,38.97,CCXZZXIXXXKI,Mobile Electronics
SLDQHWY,1,2009-12-28,RT,59.97,59.97,CCXZZXIXXXKI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-18,RT,38.85,38.85,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,38.85,38.85,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,31.5,31.5,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,53.97,53.97,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,54,54,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,45,45,CCXCVVCXXXVI,Mobile Electronics
SLDQDHS,1,2009-12-14,CB,126,126,CRVZIINRNIK,Cameras & Camcorder Accessori
SLDQDHS,1,2009-12-14,CB,119.85,119.85,CRVZIINRNIK,Cameras & Camcorder Accessori
SLDQDHS,1,2009-12-11,RT,57,57,CCXUVRRXXXKI,Mobile Electronic Accessories
SLDQDHS,1,2009-12-11,RT,28.5,28.5,CCXUVRRXXXKI,Mobile Electronic Accessories
SLDQDHS,1,2009-12-11,RT,58.5,58.5,CCXUVRRXXXKI,Mobile Electronic Accessories
SLDQDHS,1,2009-12-11,RT,58.5,58.5,CCXUVRRXXXKI,Mobile Electronic Accessories
SLDQDHS,1,2009-12-29,RT,29.97,29.97,CCXZZUXXXXKI,Mobile Electronic Accessories
SLDSSSA,1,2009-12-19,RT,8.85,8.85,CCXVNVIXXXKC,Mobile Electronics
SLDSSSA,1,2009-12-19,RT,899.85,899.85,CCXVNVIXXXKC,Home Audio
SLDSSSA,1,2009-12-14,RT,31.5,31.5,CCXVCZNXXXRX,Mobile Electronics
SLDPLAQ,1,2009-12-29,RT,27,27,CCXXXIEXXXRI,Mobile Electronic Accessories
SLDPLAQ,1,2009-12-29,RT,38.85,38.85,CCXXXIEXXXRI,Mobile Electronics
SLDPLAQ,1,2009-12-29,RT,31.5,31.5,CCXXXIEXXXRI,Mobile Electronics
SLDPLAQ,1,2009-12-29,RT,38.85,38.85,CCXXXIEXXXRI,Mobile Electronics
SLDPLAQ,1,2009-12-29,RT,54,54,CCXXXIEXXXRI,Mobile Electronics
SLDPYPS,1,2009-12-22,RT,26.97,26.97,CCXINNEXXXRC,Small Appliances
SLDPYPS,1,2009-12-22,RT,74.85,74.85,CCXINNEXXXRC,Small Appliances
SLDLPLW,1,2009-12-11,CB,79.5,79.5,CRVUIIIUXZK,Cameras & Camcorder Accessori
SLDLGSP,1,2009-12-11,RT,29.85,29.85,CCXVRZXXXXRI,Small Appliances
SLDLGSP,1,2009-12-11,RT,14.97,14.97,CCXVRZXXXXRI,Small Appliances
SLDLGSP,1,2009-12-11,RT,86.85,86.85,CCXVRZXXXXRI,Portable Electronics
SLDLGSP,1,2009-12-11,RT,54,54,CCXVRZXXXXRI,Mobile Electronic Accessories
SLDLGSP,1,2009-12-11,RT,47.85,47.85,CCXVRZXXXXRI,Mobile Electronic Accessories
SLDLGSP,1,2009-12-11,RT,59.85,59.85,CCXVRZXXXXRI,Small Appliances
SLDLYHS,1,2009-12-16,RT,599.85,599.85,CCXVEKXXXXNI,Small Appliances
SLDLYHS,1,2009-12-16,RT,690,690,CCXVEKXXXXNI,Home Audio
SLDGQGW,1,2009-12-16,RT,14.85,14.85,CCXZCXCXXXVI,Home Audio
SLDGWGQ,3,2009-12-06,IB,119.85,359.55,CRVXICUNRXK,Home Audio
SLDGLWH,1,2009-12-03,CB,209.85,209.85,CRRIIIZUCEK,Cameras & Camcorder Accessori
SLDGLWH,1,2009-12-03,CB,209.85,209.85,CRRIIIZUCEK,Cameras & Camcorder Accessori
SLDGLWH,1,2009-12-03,CB,179.85,179.85,CRRIIIZUCEK,Cameras & Camcorder Accessori
SLDGLWH,1,2009-12-14,CB,59.85,59.85,CRVZIZCKUVK,Mobile Electronics
SLDGLWH,1,2009-12-14,CB,90,90,CRVZIZCKUVK,Mobile Electronics
SLDGLWH,1,2009-12-14,CB,237,237,CRVZIZCKUVK,Mobile Electronics
SLDGLDQ,1,2009-12-03,RT,32.97,32.97,CCXVVNVXXXKC,Mobile Electronics
SGQAYDS,1,2009-12-14,RT,45,45,CCXUXNUXXXRI,Mobile Electronic Accessories
SGQAYDS,1,2009-12-14,RT,34.5,34.5,CCXUXNUXXXRI,Mobile Electronic Accessories
SGQPGGH,1,2009-12-04,RT,59.85,59.85,CCXRVXVXXXRI,Small Appliances
SGQPGGH,1,2009-12-04,RT,31.5,31.5,CCXRVXVXXXRI,Mobile Electronics
SGQGDDS,1,2009-12-18,RT,36,36,CCXRIZKXXXKI,Small Appliances
SGQYALP,1,2009-12-14,IB,449.85,449.85,CRVZIUUZUCK,Home Audio
SGQYLHH,1,2009-12-10,CB,119.85,119.85,CRVVINZENUK,Mobile Electronic Accessories
SGQYLHH,1,2009-12-10,CB,899.85,899.85,CRVVINZENUK,Home Audio
SGQYHGH,1,2009-12-30,RT,59.97,59.97,CCXRRURXXXNX,Portable Electronics
SGQYHGH,1,2009-12-30,RT,56.85,56.85,CCXRRURXXXNX,Portable Electronics
SGQYHGH,1,2009-12-30,RT,78,78,CCXRRURXXXNX,Mobile Electronic Accessories
SGQYHGH,1,2009-12-30,RT,44.97,44.97,CCXRRURXXXNX,Small Appliances
SGQYHGH,1,2009-12-30,RT,43.5,43.5,CCXRRURXXXNX,Mobile Electronic Accessories
SGQYHGH,1,2009-12-19,RT,899.85,899.85,CCXVXNNXXXKC,Portable Electronics
SGQYHGH,1,2009-12-19,RT,59.85,59.85,CCXVXNNXXXKC,Portable Electronics
SGQYHGH,1,2009-12-15,RT,27,27,CCXUNCVXXXRC,Mobile Electronics
SGQYHGH,1,2009-12-28,RT,36,36,CCXEXIZXXXKI,Mobile Electronics
SGQYHGH,1,2009-12-28,RT,54,54,CCXEXIZXXXKI,Mobile Electronics
SGQDAPL,1,2009-12-07,CB,126,126,CRVNIVUICEK,Mobile Electronics
SGQDAPL,2,2009-12-07,CB,84,168,CRVNIVUICEK,Mobile Electronics
SGQDHSA,1,2009-12-19,RT,28.5,28.5,CCXKNNVXXXNI,Mobile Electronic Accessories
SGQDHSA,1,2009-12-19,RT,102,102,CCXKNNVXXXNI,Small Appliances
SGQDHYW,1,2009-12-21,RT,28.5,28.5,CCXVUCEXXXKI,Small Appliances
SGWQLPQ,1,2009-12-16,RT,57,57,CCXIVUKXXXKI,Mobile Electronic Accessories
SGWQLPQ,1,2009-12-16,RT,36,36,CCXIVUKXXXKI,Mobile Electronics
SGWQLPQ,1,2009-12-16,RT,36,36,CCXIVUKXXXKI,Small Appliances
SGWQLPQ,1,2009-12-16,RT,45,45,CCXIVUKXXXKI,Small Appliances
SGWQHGS,1,2009-12-13,IB,119.85,119.85,CRVIIRVRXVK,Cameras & Camcorder Accessori
SGWQHGS,1,2009-12-17,IB,57,57,CRUNIKCICRK,Small Appliances
SGWQHGS,1,2009-12-17,IB,179.85,179.85,CRUNIKCICRK,Portable Electronics
SGWQHGS,1,2009-12-17,IB,299.85,299.85,CRUNIKCICRK,Portable Electronics
SGWQHGS,1,2009-12-12,RT,899.85,899.85,CCXVEKIXXXRI,Home Audio
SGWWWPA,1,2009-12-07,RT,89.85,89.85,CCXNZZNXXXKC,Home Audio
SGWWLYD,1,2009-12-05,CB,59.85,59.85,CRRCINVZUZK,Mobile Electronic Accessories
SGWWHWA,1,2009-12-17,IB,30,30,CRUNIZKKRUK,Mobile Electronics
SGWWHWA,1,2009-12-17,IB,72,72,CRUNIZKKRUK,Mobile Electronics
SGPWALL,1,2009-12-11,RT,23.97,23.97,CCXNEIEXXXKI,Mobile Electronic Accessories
SGPWALL,1,2009-12-11,RT,72,72,CCXNEIEXXXKI,Small Appliances
SGPWALL,1,2009-12-11,RT,102,102,CCXNEIEXXXKI,Small Appliances
SGPLQHP,1,2009-12-15,IB,89.85,89.85,CRVCIINZKIK,Mobile Electronic Accessories
SGPLQHP,1,2009-12-15,IB,209.85,209.85,CRVCIINZKIK,Cameras & Camcorder Accessori
SGPLQHP,1,2009-12-15,IB,78,78,CRVCIINZKIK,Mobile Electronic Accessories
SGPLQHP,1,2009-12-15,IB,132,132,CRVCIINZKIK,Cameras & Camcorder Accessori
SGPLQHP,2,2009-12-19,IB,74.85,149.7,CRURINEKRXK,Mobile Electronic Accessories
SGPGSPG,3,2009-12-12,IB,30,90,CRVEIKIKUCK,Mobile Electronic Accessories
SGPHLQQ,1,2009-12-02,RT,59.97,59.97,CCXKICEXXXVI,Mobile Electronics
SGLQPHQ,1,2009-12-16,RT,90,90,CCXVINCXXXNI,Home Audio
SGLQPHQ,1,2009-12-16,RT,389.85,389.85,CCXVINCXXXNI,Home Audio
SGLQPHQ,1,2009-12-16,RT,114,114,CCXVINCXXXNI,Mobile Electronics
SGLAHAP,1,2009-12-08,RT,209.85,209.85,CCXRUXCXXXNI,Mobile Electronics
SGLAHAP,1,2009-12-08,RT,89.85,89.85,CCXRUXCXXXNI,Mobile Electronics
SGLAHAP,1,2009-12-08,RT,899.85,899.85,CCXRUXCXXXNI,Home Audio
SGLAHAP,1,2009-12-14,RT,119.85,119.85,CCXRZEIXXXKI,Mobile Electronics
SGLAHAP,1,2009-12-14,RT,269.85,269.85,CCXRZEIXXXKI,Mobile Electronics
SGLAHAP,1,2009-12-01,RT,239.85,239.85,CCXVXEKXXXNI,Home Audio
SGLAHAP,1,2009-12-01,RT,53.85,53.85,CCXVXEKXXXNI,Portable Electronics
SHWHGDW,3,2009-12-07,RT,79.5,238.5,CCXXZKCXXXNI,Mobile Electronic Accessories
SHPSAGH,1,2009-12-07,CB,119.85,119.85,CRVNIVVVREK,Mobile Electronics
SHPSAGH,1,2009-12-07,CB,299.85,299.85,CRVNIVVVREK,Small Appliances
SHPSAGH,2,2009-12-07,CB,25.5,51,CRVNIVVVREK,Mobile Electronics
SHHHDAH,1,2009-12-13,RT,74.85,74.85,CCXVEVEXXXRX,Small Appliances
SHHHDAH,1,2009-12-13,RT,45,45,CCXVEVEXXXRX,Mobile Electronic Accessories
SYADLGW,1,2009-12-12,IB,102,102,CRVEIKZZVVK,Small Appliances
SYADLGW,1,2009-12-12,IB,72,72,CRVEIKZZVVK,Small Appliances
SYADLGW,1,2009-12-12,IB,119.85,119.85,CRVEIKZZVVK,Small Appliances
SDPADAH,1,2009-12-23,RT,20.97,20.97,CCXURUKXXXRI,Small Appliances
PQDWLGH,1,2009-12-30,RT,114,114,CCXRRVRXXXNI,Mobile Electronics
PQDWLGH,1,2009-12-21,RT,209.85,209.85,CCXUICCXXXVI,Home Audio
PQDWLGH,1,2009-12-21,RT,72,72,CCXUICCXXXVI,Mobile Electronics
PQDWLGH,1,2009-12-21,RT,54,54,CCXUICCXXXVI,Mobile Electronics
PQDWLGH,1,2009-12-21,RT,162,162,CCXUICCXXXVI,Home Audio
PSSHQYL,1,2009-12-12,RT,54,54,CCXRIRXXXXVI,Mobile Electronic Accessories
PSSHQYL,1,2009-12-19,RT,79.5,79.5,CCXIEINXXXKI,Mobile Electronic Accessories
PSDDPHS,1,2009-12-10,RT,389.85,389.85,CCXURUEXXXKI,Home Audio
PSDDPHS,1,2009-12-10,RT,73.5,73.5,CCXURUEXXXKI,Mobile Electronics
PDGSHPQ,1,2009-12-24,RT,419.85,419.85,CCXKZENXXXNC,Portable Electronics
PDGSHPQ,1,2009-12-24,RT,63,63,CCXKZENXXXNC,Small Appliances
PDGSHPQ,1,2009-12-24,RT,45,45,CCXKZENXXXNC,Small Appliances
LPQHPPQ,1,2009-12-15,RT,49.5,49.5,CCXNECZXXXNC,Mobile Electronic Accessories
LPQHPPQ,1,2009-12-15,RT,25.5,25.5,CCXNECZXXXNC,Small Appliances
LPQHPPQ,1,2009-12-15,RT,28.5,28.5,CCXNECZXXXNC,Mobile Electronic Accessories
LHSLLHG,1,2009-12-21,IB,479.88,479.88,CRUUIERKUXK,Home Audio
LHSLLHG,1,2009-12-11,RT,45,45,CCXNNCEXXXNI,Small Appliances
LYPYSDL,1,2009-12-17,CB,83.97,83.97,CRUNIIRXUUK,Mobile Electronics
LYPYSDL,1,2009-12-17,CB,299.85,299.85,CRUNIIUVEEK,Home Audio
GPAPYSA,1,2009-12-21,RT,89.85,89.85,CCXUIVZXXXVI,Mobile Electronics
GPGQSPD,1,2009-12-03,RT,38.85,38.85,CCXXURVXXXNI,Mobile Electronics
GPGAASY,12,2009-12-15,RT,18,216,CCXRKNIXXXKI,Home Audio
GPGGLGD,1,2009-12-01,RT,177,177,CCXNXNVXXXKI,Home Audio
GPGGLGD,1,2009-12-01,RT,87,87,CCXNXNVXXXKI,Home Audio
GPGGLGD,1,2009-12-04,RT,657,657,CCXRXXRXXXNI,Home Audio
GPGGLGD,1,2009-12-04,RT,657,657,CCXRXXVXXXNI,Home Audio
GPDYASA,1,2009-12-10,CB,119.85,119.85,CRVVICEIVRK,Mobile Electronic Accessories
GPDYASA,1,2009-12-10,CB,119.85,119.85,CRVVICEIVRK,Mobile Electronic Accessories
GDGQDYS,1,2009-12-21,RT,114,114,CCXUIKCXXXVC,Mobile Electronics
GDGHALW,1,2009-12-27,RT,104.97,104.97,CCXECZXXXXNI,Portable Electronics
GDGYSYA,1,2009-12-07,RT,78,78,CCXRZCEXXXRI,Mobile Electronic Accessories
GDYHYHD,1,2009-12-16,RT,44.85,44.85,CCXNIRKXXXNI,Mobile Electronics
HQSDSPQ,1,2009-12-12,RT,299.85,299.85,CCXZKICXXXVI,Portable Electronics
HSSWPYW,1,2009-12-12,RT,114,114,CCXVEXIXXXRI,Mobile Electronics
HSSWPYW,1,2009-12-22,RT,449.85,449.85,CCXURCIXXXNC,Home Audio
HSSAWQD,1,2009-12-12,RT,59.85,59.85,CCXKUUEXXXKI,Small Appliances
HSSAWQD,2,2009-12-12,RT,30,60,CCXKUUEXXXKI,Small Appliances
HSSAWQD,2,2009-12-12,RT,119.85,239.7,CCXKUUEXXXKI,Home Audio
HSSAWQD,2,2009-12-12,RT,31.5,63,CCXKUUEXXXKI,Mobile Electronic Accessories
HSSAWQD,1,2009-12-12,RT,54,54,CCXKUUEXXXKI,Mobile Electronics
HSSAWQD,1,2009-12-12,RT,42,42,CCXKUUEXXXKI,Mobile Electronic Accessories
HSSAWQD,1,2009-12-21,RT,18,18,CCXCUNVXXXNI,Small Appliances
HSSAWQD,2,2009-12-21,RT,14.85,29.7,CCXCUNVXXXNI,Home Audio
HSSAWQD,1,2009-12-21,RT,87,87,CCXCUNVXXXNI,Mobile Electronic Accessories
HSSAWQD,1,2009-12-21,RT,87,87,CCXCUNVXXXNI,Mobile Electronic Accessories
HSSAWSS,1,2009-12-26,RT,48,48,CCXRXVRXXXNI,Small Appliances
HSSAWSS,1,2009-12-11,RT,79.5,79.5,CCXRUEEXXXVI,Mobile Electronic Accessories
HSSAWSS,1,2009-12-11,RT,21,21,CCXRUEEXXXVI,Mobile Electronic Accessories
HHSSPSD,1,2009-12-10,IB,60,60,CRVVIKKKREK,Small Appliances
HHSSPSD,1,2009-12-10,IB,119.85,119.85,CRVVIKKKREK,Small Appliances
HHSSPSD,1,2009-12-10,IB,45,45,CRVVIKKKREK,Small Appliances
