acctno,qty,trandate,tran_channel,price,totamt,orderno,deptdescr
WLLGDHGLD,1,2009-12-30,RT,14.97,14.97,CCXERNIXXXKI,Mobile Electronics
WLLYADDWP,1,2009-12-28,RT,1049.9,1049.85,CREKIUVRRCK,Home Audio
WLLYADDWP,1,2009-12-28,RT,44.97,44.97,CCXERIEXXXNI,Mobile Electronics
WLLYADDWP,1,2009-12-28,RT,44.97,44.97,CCXERIEXXXNI,Mobile Electronics
WLLYADDWP,1,2009-12-21,RT,29.97,29.97,CCXZCNXXXXRC,Mobile Electronics
WLLYADDWP,1,2009-12-21,RT,29.97,29.97,CCXZCNXXXXRC,Mobile Electronics
WLLYADDWP,1,2009-12-21,RT,44.97,44.97,CCXZCNXXXXRC,Mobile Electronics
WLLYADDWP,1,2009-12-21,RT,30,30,CCXZCNXXXXRC,Mobile Electronic Accessories
WLGQWGALL,1,2009-12-24,RT,38.97,38.97,CCXUECIXXXKI,Mobile Electronics
WLGAPLDLS,1,2009-12-15,RT,29.85,29.85,CCXZCCUXXXVI,Small Appliances
WLGAPLDLS,1,2009-12-15,RT,30,30,CCXZCCUXXXVI,Mobile Electronic Accessories
WLGAPLDLS,1,2009-12-15,RT,209.85,209.85,CCXZCCUXXXVI,Home Audio
WLGAPLDLS,1,2009-12-15,RT,27,27,CCXZCCUXXXVI,Small Appliances
WLGAPLDLS,1,2009-12-15,RT,49.5,49.5,CCXZCCUXXXVI,Mobile Electronic Accessories
WLGAPLDLS,1,2009-12-15,RT,78,78,CCXZCCUXXXVI,Mobile Electronic Accessories
WLGAPLDLS,1,2009-12-15,RT,58.5,58.5,CCXZCCUXXXVI,Mobile Electronic Accessories
WLGAPLDLS,1,2009-12-15,RT,149.85,149.85,CCXZCCUXXXVI,Small Appliances
WLGAPLDLS,1,2009-12-15,RT,33,33,CCXZCCUXXXVI,Mobile Electronics
WLGAPLDLS,1,2009-12-15,RT,36,36,CCXZCCUXXXVI,Mobile Electronics
WLGAPGQSL,1,2009-12-09,RT,345,345,CCXRRVZXXXKI,Home Audio
WLGSYLPPL,1,2009-12-15,RT,59.85,59.85,CCXNEURXXXNI,Small Appliances
WLGSYLPPL,1,2009-12-15,RT,79.5,79.5,CCXNEURXXXNI,Mobile Electronic Accessories
WLGSYLPPL,1,2009-12-15,RT,149.85,149.85,CCXNEURXXXNI,Small Appliances
WLGSYLPPL,1,2009-12-15,RT,54,54,CCXNEURXXXNI,Small Appliances
WLGSYLPPL,2,2009-12-20,RT,79.5,159,CCXERRRXXXRI,Mobile Electronic Accessories
WLGPQAGAQ,1,2009-12-16,RT,149.85,149.85,CCXCNUZXXXVI,Portable Electronics
WLGPQAGAQ,1,2009-12-16,RT,89.85,89.85,CCXCNUZXXXVI,Small Appliances
WLGPQAGAQ,1,2009-12-16,RT,58.5,58.5,CCXCNUZXXXVI,Mobile Electronic Accessories
WLGPQAGAQ,1,2009-12-16,RT,58.5,58.5,CCXCNUZXXXVI,Mobile Electronic Accessories
WLGPQAGAQ,1,2009-12-16,RT,149.85,149.85,CCXCNENXXXVI,Portable Electronics
WLGPQAGAQ,1,2009-12-16,RT,89.85,89.85,CCXCNENXXXVI,Small Appliances
WLGPQAGAQ,1,2009-12-16,RT,58.5,58.5,CCXCNENXXXVI,Mobile Electronic Accessories
WLGPQAGAQ,1,2009-12-16,RT,60,60,CCXCNEKXXXVI,Portable Electronics
WLGPQAGAQ,1,2009-12-16,RT,58.5,58.5,CCXCNEKXXXVI,Mobile Electronic Accessories
WLGPQAGAQ,1,2009-12-16,RT,59.85,59.85,CCXCNEKXXXVI,Portable Electronics
WLGPDGDWW,1,2009-12-23,RT,36,36,CCXUKZRXXXKX,Mobile Electronics
WLGPDGDWW,1,2009-12-23,RT,42,42,CCXUKZRXXXKX,Mobile Electronics
WLGPDGDWW,1,2009-12-23,RT,36,36,CCXUKZRXXXKX,Mobile Electronic Accessories
WLGPDGDWW,1,2009-12-23,RT,78,78,CCXUKZRXXXKX,Mobile Electronic Accessories
WLGLWDWDW,2,2009-12-09,CB,59.85,119.7,CRVRIXZXINK,Mobile Electronics
WLGLWDWDW,1,2009-12-09,CB,78,78,CRVRIXZXINK,Mobile Electronic Accessories
WLGLWDWDW,1,2009-12-09,CB,49.5,49.5,CRVRIXZXINK,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,57,57,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,56.85,56.85,CCXEICXXXXKI,Mobile Electronics
WLGLGSAHA,1,2009-12-10,RT,90,90,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,38.85,38.85,CCXEICXXXXKI,Mobile Electronics
WLGLGSAHA,1,2009-12-10,RT,21,21,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,7.5,7.5,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,7.5,7.5,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,24,24,CCXEICXXXXKI,Mobile Electronics
WLGLGSAHA,1,2009-12-10,RT,15,15,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,15,15,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,15,15,CCXEICXXXXKI,Mobile Electronic Accessories
WLGLGSAHA,1,2009-12-10,RT,59.85,59.85,CCXEICXXXXKI,Small Appliances
WLGDDASLG,1,2009-12-07,RT,119.85,119.85,CCXNZUZXXXKC,Home Audio
WLGDDASLG,1,2009-12-07,RT,28.5,28.5,CCXNZUZXXXKC,Mobile Electronic Accessories
WLHQQLGYH,1,2009-12-13,IB,149.85,149.85,CRVIIEVKIRK,Home Audio
WLHQQLGYH,1,2009-12-23,RT,41.97,41.97,CCXERUVXXXVI,Mobile Electronics
WLHQQLGYH,1,2009-12-23,RT,29.97,29.97,CCXERUVXXXVI,Mobile Electronics
WLHQQLGYH,1,2009-12-23,RT,14.97,14.97,CCXERUVXXXVI,Small Appliances
WLHQDGYYP,1,2009-12-13,RT,540,540,CCXUZENXXXKI,Home Audio
WLHWHLADQ,1,2009-12-23,RT,59.85,59.85,CCXEVIRXXXNX,Small Appliances
WLHWHLADQ,1,2009-12-23,RT,48,48,CCXEVIRXXXNX,Small Appliances
WLHAWYPAW,1,2009-12-12,RT,38.85,38.85,CCXNRCNXXXNI,Mobile Electronics
